time,position_1,velocity_1,acceleration_1,jerk_1,position_2,velocity_2,acceleration_2,jerk_2
0,0,0,0,1.47262,0,0,0,31.4159
0.01,2.44517e-07,7.32634e-05,0.014616,1.45059,5.15776e-06,0.00153954,0.304797,29.5498
0.02,1.9488e-06,0.000291586,0.0290121,1.42866,4.06413e-05,0.00603437,0.591122,27.7214
0.03,6.55247e-06,0.000652777,0.0431896,1.40685,0.000135086,0.0133017,0.859351,25.9307
0.04,1.54733e-05,0.00115465,0.0571495,1.38515,0.000315319,0.0231623,1.10986,24.1777
0.05,3.01072e-05,0.00179505,0.0708929,1.36356,0.000606393,0.0354411,1.34303,22.4624
0.06,5.18287e-05,0.00257179,0.084421,1.34207,0.00103163,0.0499664,1.55924,20.7848
0.07,8.19905e-05,0.00348275,0.0977348,1.3207,0.00161265,0.0665705,1.75885,19.1449
0.08,0.000121924,0.00452578,0.110835,1.29944,0.00236942,0.0850894,1.94226,17.5427
0.09,0.000172939,0.00569875,0.123724,1.27829,0.00332029,0.105363,2.10983,15.9781
0.1,0.000236325,0.00699955,0.136402,1.25725,0.00448201,0.127235,2.26195,14.4513
0.11,0.000313349,0.00842608,0.148869,1.23632,0.00586979,0.150552,2.39898,12.9622
0.12,0.000405259,0.00997625,0.161128,1.2155,0.00749736,0.175165,2.52132,11.5108
0.13,0.000513279,0.011648,0.17318,1.19479,0.00937693,0.20093,2.62932,10.0971
0.14,0.000638616,0.0134392,0.185025,1.17419,0.0115193,0.227705,2.72338,8.72106
0.15,0.000782454,0.0153478,0.196664,1.15371,0.0139339,0.255353,2.80387,7.38274
0.16,0.000945956,0.0173718,0.208099,1.13333,0.0166288,0.283739,2.87116,6.08212
0.17,0.00113027,0.0195091,0.219331,1.11306,0.0196107,0.312733,2.92564,4.8192
0.18,0.00133651,0.0217577,0.230361,1.09291,0.0228851,0.34221,2.96767,3.59398
0.19,0.00156578,0.0241156,0.241189,1.07286,0.0264561,0.372046,2.99764,2.40646
0.2,0.00181918,0.0265808,0.251818,1.05292,0.0303268,0.402124,3.01593,1.25664
